student,section,pre,post,se1,se2,se3,se4,se5,se6,exercise,fixed,minutes
S39,control,9,9,1,2,2,4,3,2,E11,1,7.0
S39,control,9,9,1,2,2,4,3,2,E12,0,30.0
S40,control,12,12,3,3,3,4,3,3,E01,1,2.6
S40,control,12,12,3,3,3,4,3,3,E02,1,4.7
S40,control,12,12,3,3,3,4,3,3,E03,0,10.0
S40,control,12,12,3,3,3,4,3,3,E04,1,8.5
S40,control,12,12,3,3,3,4,3,3,E05,1,7.3
S40,control,12,12,3,3,3,4,3,3,E06,1,8.0
S40,control,12,12,3,3,3,4,3,3,E07,1,6.0
S40,control,12,12,3,3,3,4,3,3,E08,1,4.7
S40,control,12,12,3,3,3,4,3,3,E09,1,5.3
S40,control,12,12,3,3,3,4,3,3,E10,0,15.2
S40,control,12,12,3,3,3,4,3,3,E11,0,19.8
S40,control,12,12,3,3,3,4,3,3,E12,0,12.4
